Title,Company,Location,Salary,Job Type,Date Posted,Summary
Business Analysis Instructor - Nigeria (Remote),Eny Consulting Inc.Felix,Lagos,,Full-time,PostedPosted 30+ days ago,"Business Analysis Instructor - Nigeria (Remote).
The Business Analysis School was founded by Eno Eka, an accountant who successfully transitioned into Business…"
Category Analyst - Consumer Electronics - Jumia (Full Time),Jumia,Lagos,,,PostedPosted 30+ days ago,"2-4 years experience in analyzing large data sets to make strategic decisions.
Understanding all your markets, vendors and customers, bringing valuable insights…"
UI/UX,Don-Clem Technology,Lagos,,,EmployerActive 5 days ago,"Validate designs through data and usability testing.
Work closely with digital product and delivery teams, business analysts, developers, and adjoining teams in…"
Accounts Receivable Analyst,Cummins Inc.,Lagos,,,PostedPosted 15 days ago,"Experience in data analysis and reporting.
We are looking for a talented ACCOUNTS RECEIVABLE ANALYST to join our team specializing in FINANCE for our…"
Financial Analyst,Global PFI,Lagos,,Full-time,PostedPosted 30+ days ago,"Interactively disintermediate empowered data whereas distinctive human capital.
Distinctively fashion standardized communities vis-a-vis seamless applications."
Full Stack Developer,INFINION TECHNOLOGIES LIMITED,Lagos,,,PostedPosted 30+ days ago,"Work with data scientists and analysts to improve software.
We are a customer obsessed organisation that offers transformative technology solutions to…"
Accounts Payable Analyst,Dangote Group,Lagos,,Full-time,PostedToday,"Ensure the timely and accurate processing of Accounts Payable data.
Provide agreed business and compliance reports and analyze data to facilitate business…"
Consolidation and Reporting Analyst,Dangote Group,Lagos,,Full-time,PostedPosted 1 day ago,"Provision of agreed business and compliance reports and data analysis to facilitate decision-making.
Accurate review of General Ledger, maintenance of master…"
Software Engineer,Ibadan Electricity Distribution Company,Oyo,,,PostedPosted 3 days ago,"Working closely with other developers, UX designers, business and systems analysts.
Analysing data to effectively coordinate the installation of new systems or…"
Macroeconomic Strategist,Cordros Capital Limited,Lagos,,,PostedPosted 30+ days ago,"The role is for an analyst who is quantitative, analytical, logical, and good at managing numbers and data.
Required No. of Candidates for the Role."
"Program Associate - Bayelsa, FCT, Kebbi, Katsina",,Nigeria,,Contract,PostedPosted 14 days ago,"Support and guide project analysts in the day-to-day execution of assigned tasks.
Facilitate periodic (at least monthly) individual performance reviews and…"
Procurement Analyst/ Associate,RS Hunter Ltd,Lagos,,,PostedPosted 30+ days ago,"Maintains data information, files, reports, price lists on assigned commodities; negotiates prices and terms.
Prepares all aspects of bids, requests for quotes,…"
FINANCIAL ANALYST,TEAM-ACE LIMITED,Sokoto,"₦300,000 - ₦350,000 a month",Full-time +1,EmployerActive 5 days ago,"Consolidate and analyze financial data, taking into account company’s goals and financial standing.
Reconcile transactions by comparing and correcting data and…"
Financial Analyst,Hiikkys Hair Studio,Lagos,,Full-time,EmployerActive 8 days ago,Strong analytical skills with the ability to interpret complex financial data and provide actionable recommendations.
Dynamics 365 Business Central Business Analyst,ITC WORLDWIDE,Lagos,,,PostedPosted 30+ days ago,"The Functional Business Analyst - Microsoft Dynamics Business Central will serve as a liaison among IT, business partners, product owners, architects, data…"
"Business Analyst, Land Transportation",Dangote Group,Nigeria,,Full-time,PostedPosted 30+ days ago,"Collect and analyze data related to land transportation activities.
Your responsibilities will include collecting and analyzing data related to our land…"
Fleet Analyst,Nigeria Sinotruck Limited,Lagos,,Full-time,PostedPosted 1 day ago,"Competencies in data entry, analysis, and management.
Nigeria Sinotruck Limited is a company in the commercial automotive Industry that is interested in…"
Data Engineer,INFINION TECHNOLOGIES LIMITED,Lagos,,Full-time,PostedPosted 30+ days ago,"Liaise with data scientists and analysts to improve and provide data as required.
Build, optimize, and manage data platforms and Azure data services."
Finance/Operations Analyst,COOLBUCKS LIMITED,Lagos,,,PostedPosted 30+ days ago,"Ability to analyze and interpret financial data.
Banking, Finance & Insurance NGN 150,000 - 250,000.
This is a full-time on-site role for a Finance/Operations…"
Ongoing Recruitment at WTS Energy,WTS Energy,Lagos,,Full-time,PostedPosted 8 days ago,"Analyze well data, including drilling logs, pressure tests, and production data, to optimize well performance and identify opportunities for improvement."
Human Resources (HR) Analyst,Lifemate Nigeria Limited,Ogun,,Full-time,PostedPosted 20 days ago,"Maintain HR data integrity by ensuring the accuracy of data input.
Manage and master data entry.
Create & maintain available data glossary."
Product Manager,The Concept Group,Lagos,,Full-time,EmployerActive 5 days ago,"Must be familiar with data analysis and interpretation.
Pricing analysts are highly analytical and work with complex data from multiple sources to help an…"
T2 Planning Analyst,AB InBev,Nigeria,,Full-time,PostedPosted 25 days ago,Collaborate with the CXC core supervisor and Depots/Plants to set-up & maintain inter-related system platforms and master data maintained in SAP system and used…
Supply Chain Analyst,Elvaridah,Lagos,,Full-time,PostedPosted 14 days ago,"Utilize data analytics tools to extract insights, identify trends, and make data-driven decisions in procurement and finance activities."
Analyst - Network Business Performance,MTN Group,Lagos,,,PostedPosted 29 days ago,Reports To: Manager - Network Business Performance Division: Network Mission: To provide network analytics and insights to Network Group functions and other…
Full Stack Developer,E-direct.ng Essential Nigeria Limited,Lagos,,,PostedPosted 30+ days ago,"Work with data scientists and analysts to improve software.
Create security and data protection settings.
The Full Stack Developers work in the IT department of…"
"Finance Business Analyst, DCT",Dangote Industries Limited,Nigeria,,Full-time,PostedPosted 18 days ago,"As a Financial business analyst, you will play a key role in analyzing financial data, identifying trends, and providing insights to drive informed business…"
Recovery Officer,Wakacredit Limited,Lagos,,,PostedPosted 30+ days ago,"Numerically savvy, able to work with data, perform analysis and communicate result.
At least 5 years’ experience in commercial lending / process analyst or…"
Software Developer,Jobberman (Third Party Recruitment),Lagos,,,PostedPosted 19 days ago,"Work closely with cross-functional teams, including project managers, business analysts, and quality assurance professionals, to ensure seamless integration of…"
GPON Deployment Supervisor- Fibre Projects,IPNX NIGERIA LIMITED,Lagos,,,EmployerActive 6 days ago,"Provide daily project work plan and activity reports to team lead/data analyst, every day, throughout the duration of the project."
Consulting Sector Analyst,ILF Consulting Engineers,Lagos,,,PostedPosted 30+ days ago,"Develop and maintain comprehensive databases and models to facilitate data analysis and modeling.
Proven experience minimum of 2 years as an analyst in the…"
Finance Operations Analyst (Beauty Brand),Talentsquare,Yaba,,Permanent,PostedPosted 30+ days ago,"Advanced data analysis with proficiency in Excel and other spreadsheet tools.
Strong analytical skills with the ability to interpret complex data and…"
"Supply Chain Operations Analyst, Apapa",Dangote Group,Lagos,,,PostedPosted 9 days ago,"Excellent attention to detail and comfortably pivots into complex strategy discussions informed by data and research.
Proficiency in the use of MS Office tools."
Business Continuity Management Analyst,Main One,Lagos,,Permanent,PostedPosted 30+ days ago,"Ensure the company’s data, data systems, infrastructure and networks are recoverable in the event of a disaster.
Minimum years of Experience: 6."
Business Analyst (Cement),Dangote Group,Lagos,,,PostedPosted 30+ days ago,"Collaborate with cross-functional teams to gather and interpret data.
Analyze operational data and identify trends and opportunities for optimization."
Ongoing Recruitment at Food Concepts Plc,Food Concepts Plc,Lagos,,,PostedPosted 20 days ago,"High proficiency in data entry techniques.
Strong analytical and data gathering skills.
Type in data provided directly from customers."
Senior Credit analyst,TechnoServe,Abuja,,Full-time,PostedPosted 29 days ago,"Job Title: Senior Credit analyst.
Reporting to the Capital Investment Lead, the Senior Credit analyst will be responsible for the collection of financial…"
OFFICE ADMINISTRATOR/CUSTOMER RELATIONSHIP OFFICER -Ilupeju,West Africa Vocational Education (WAVE),Lagos,"₦60,000 - ₦80,000 a month",Full-time,PostedPosted 27 days ago,"3.Study past sales data to determine trends in productivity.
1.Collect data from sales reports for analysis.
We are looking for a Sales Analyst to join our team…"
Lead Data Analyst,Adker Recruit,Lagos,,Permanent,PostedPosted 30+ days ago,Lead point of contact and subject matter expert for obtaining all data aspects of company data and needs assessment – design the mining of information and…
FInancial/Business Analyst,RS Hunter Ltd,Lagos,,Full-time,PostedPosted 30+ days ago,"Analyze financial data to identify trends, opportunities, and potential risks.
Create data-driven reports and visualizations to support decision-makers."
Request for Proposals - Nigeria Digital Economy Country Assessment (DECA),Resonance,Lagos,,,PostedPosted 30+ days ago,"For example, the Health, Nutrition, and Population Office works with Open Data Kit (ODK) technology to support offline data collection, enabling teams to…"
Associate - Sales Analysis,SC Johnson,Lagos,,Full-time,PostedPosted 21 days ago,"Accountable for data collection, review and analysis Using automated tools to extract data from primary and secondary sources Maintaining databases, and data…"
Business Strategy Analyst,Nosagie Holdings,Benin City,,Full-time +1,EmployerActive 12 days ago,"Strong analytical and problem-solving skills, with the ability to interpret complex data sets and draw meaningful conclusions.
A master's degree is preferred."
Business development specialist,ValueGate Consulting,Abuja,,,PostedPosted 30+ days ago,"Experience analyzing complex data and creating actionable recommendations.
ValueGate Consulting is a global consulting powerhouse with Engineers, Business…"
Senior Analyst,Kedari Capital,Lagos,,,PostedPosted 30+ days ago,"Reporting to: Head, Corporate Finance & Advisory.
Sc or HND in Accounting, Economics, or Finance-related program.
Master’s Degree is an added advantage."
Compensation and Benefits Analyst,Human Resource Specialists (Nigeria),Lagos,,,PostedPosted 30+ days ago,A gas and power portfolio company needs a Compensation and Benefits Analyst to ensure employee packages are competitive and in alignment with company policies…
Senior Commercial Analyst - Jumia (Full Time),Jumia,Lagos,,Full-time,PostedPosted 30+ days ago,"Ability to analyse large data sets to make strategic decisions.
As Senior Commercial Analyst (Commercial Performance Manager), you will manage and coordinate…"
Group Finance Lead,Field Intelligence,Lagos,,,PostedPosted 30+ days ago,"Ensure data quality and process integrity as the Company grows.
Field is hiring for a Global Finance Lead to work directly with the CEO and leadership team of…"
Full Stack Developer (Front & Backend),FORT KNOX OUTSOURCING,Lagos,,Full-time,PostedToday,"Work with data and analysts to improve the software.
Create security and data protection settings.
Integration of multiple data sources and databases into one…"
Senior Product Analyst,AltexSoft,Nigeria,,,PostedPosted 30+ days ago,We are looking for a Senior Product Analyst or a strong Data analyst with a Product mindset to organize product data for a big travel company.
Driver Welfare Analyst - Osogbo,Max Drive,Osogbo,,,PostedPosted 30+ days ago,"Acquire data from primary or secondary data resources and maintain databases/data systems.
Proven experience working in / knowledge of a recruitments or analyst…"
Process Optimalization Analyst,Nosagie Holdings,Benin City,,Full-time +1,EmployerActive 12 days ago,"Proficient in using data analysis tools and software to extract insights and support decision-making.
Collaborate with cross-functional teams to gather data and…"
Finance Analyst -Lagos & Abuja,Myrtle Management Consultants,Lagos,,Permanent,PostedPosted 25 days ago,"Interpretation and analysis of financial data.
Delivering appropriate management information and reporting (financial data) ensuring data availability for…"
"Senior Consultant, Middle Africa",IQVIA,Lagos,,Full-time,PostedPosted 30+ days ago,"The Senior Consultant will take on a variety of roles that focus primarily within the following core areas: business development, client/project leadership,…"
Marketing Administrator,WorQulture,Lagos,,Full-time,EmployerActive 5 days ago,"Maintain marketing databases and assist in data analysis.
Analytical mindset with the ability to interpret data and trends."
Principal Analyst and Financial Data Mgmt (SAP expert),Boston Scientific Corporation,Cross River,,,PostedPosted 21 days ago,"Plan, organize, lead and coordinate a global diverse team for all aspects related to Ariba’s SAP PtP module: supplier enablement, catalog process, contract,…"
Data Engineer,FairMoney,Abuja,,,PostedPosted 19 days ago,"Proficiency in data principles, system and architecture, dimensional data modeling for Data Warehousing and Business Intelligence, and data governance…"
D365 F&O Administrator,ITC WORLDWIDE,Lagos,,Full-time,PostedPosted 30+ days ago,"Ability to support / troubleshoot complex integrations and data.
The ideal candidate will have knowledge of D365 F&O system, workflows, configuration (including…"
Digital Marketing Executive,Supermart.ng,Lagos,,Permanent,PostedPosted 30+ days ago,"1-3 years working in SEO, Social Media Marketing and basic Graphics Design in a data-driven marketing team.
Interview and recruit new staff and onboard them."
Power Platform Developer / RPA,ITC WORLDWIDE,Lagos,,,PostedPosted 30+ days ago,"Design secure data models using a variety of data sources (Dataverse, SharePoint, SQL, etc.).
Experience with documenting business processes and exposure to…"
Business Analysis Instructor - Nigeria (Remote),sourcenameLkZlbGl4,Lagos,,Full-time,PostedPosted 30+ days ago,"Business Analysis Instructor - Nigeria (Remote).
The Business Analysis School was founded by Eno Eka, an accountant who successfully transitioned into Business…"
"Analyst, Network Security",Standard Bank Group,Lagos,,Full-time,PostedPosted 30+ days ago,"Implementation and operation of Network security controls and management strategies to maintain the confidentiality, integrity, availability, accountability and…"
Senior Technical Advisor-Strategic Information,ICAP,Nigeria,,Full-time,PostedPosted 27 days ago,"The Senior Technical Advisor-Strategic Information will Provide direction to highly skilled surveillance specialists, including data analysts and health…"
Financial and Research Analyst,Catilas Resources Limited,Lagos,,Full-time,PostedPosted 30+ days ago,"We are currently seeking a highly motivated Financial and Research Analyst to join our team at Catilas Resources Limited. As a Financial and Research Analyst,…"
Senior Implementation Consultant,Visa,Lagos,,Permanent,PostedPosted 16 days ago,"Company Description Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants…"
"Senior Advisor Monitoring, Evaluation, Research and Learning",Jhpiego,Abuja,,,PostedPosted 12 days ago,"Overview: Jhpiego seeks a Senior Advisor Monitoring, Evaluation, Research and Learning to provide technical leadership and strategic direction for monitoring…"
Finance Manager,Spacefinish Africa,Lagos,,Permanent,PostedPosted 30+ days ago,"Company Description Spacefinish is one of Africa’s leading Design/Build company that specialises in office spaces. We have a core team of 20 professionals,…"
IT & Data Privacy Compliance Auditor,Moniepoint,Lagos,,,PostedPosted 30+ days ago,"Who we are Moniepoint is a financial technology company digitizing Africa's real economy by building a financial ecosystem for businesses, providing them…"
Senior Knowledge Analyst- Investment Attraction,Boston Consulting Group,Lagos,,,PostedPosted 21 days ago,"WHAT YOU'LL DO As a Senior Knowledge Analyst (SKA) In a Client Focused role within BCG's Social Impact Practice Area, you will work in a growing global team,…"
BACKEND DEVELOPER,HRBP LIMITED,Lagos,,,PostedPosted 30+ days ago,"Company Description HRBP LIMITED, also known as “Human Resource Business Partners” is a Human Resource Management Consulting company, focus on delivering…"
"Senior, Information Security Analyst",Carbon,Lagos,,Full-time,PostedPosted 30+ days ago,About Carbon is a pan-African digital bank with a mission to provide friction-free finance to its customers. Carbon promises to play a fundamental role in…
RPA Developer,Next Basket,Lagos,,Full-time,PostedPosted 29 days ago,We are seeking a skilled and experienced RPA Developer to join our team. The ideal candidate will have a strong background in developing Robotic Process…
"Policy Writer, Measurement And Evaluation (M&E)",NewGlobe,Lagos,,,PostedPosted 22 days ago,"Who We Are NewGlobe supports visionary governments to transform public education systems, the cornerstone of a prosperous, equitable, and peaceful society.…"
Credit Operations Lead,Kuda Technologies Ltd,Lagos,,,EmployerActive 4 days ago,"Summary Kuda is a money app for Africans on a mission to make financial services accessible, affordable and rewarding for every African on the planet. We’re…"
Senior Process Analyst,Kuda Technologies Ltd,Lagos,,,EmployerActive 4 days ago,"Kuda is a money app for Africans on a mission to make financial services accessible, affordable and rewarding for every African on the planet. We’re a tribe…"
Lead Risk Financing Advisor - Sahel,DAI,Nigeria,,,PostedPosted 30+ days ago,"Lead Risk Financing Adviser – Sahel Background to the Centre The Centre for Disaster Protection works to prevent disasters devastating lives, by helping…"
IT SECURITY ENGINEER,GVA Partners,Lagos,,,EmployerActive 5 days ago,IT SECURITY ANALYST (ENTRY LEVEL) An exciting opportunity exists for an IT security analyst to join a dynamic project team. The resource shall be…
"Architect, Principal IT COYOL",Boston Scientific Corporation,Cross River,,,PostedPosted 30+ days ago,"Work mode: Hybrid Onsite Location(s): Coyol, A, CR Additional Locations: Costa Rica-Coyol Diversity - Innovation - Caring - Global Collaboration - Winning…"
Business Analysis Instructor - Nigeria (Remote),sourcenameLkZlbGl4,Lagos,,Full-time,PostedPosted 30+ days ago,"Business Analysis Instructor - Nigeria (Remote).
The Business Analysis School is hiring a Business Analysis Instructor in Nigeria, we are an EdTech learning…"
Product Pricing Analyst/Strategist,The Concept Group,Lagos,,Full-time,EmployerActive 5 days ago,"Must be familiar with data analysis and interpretation.
Pricing analysts are highly analytical and work with complex data from multiple sources to help an…"
Financial and Research Analyst,Catilas Resources Limited,Lagos,,Full-time,PostedPosted 30+ days ago,"You will be working closely with the senior management team to analyze financial data, assess financial performance, identify trends, and develop financial…"
"Compensation and Benefits Specialist (Johannesburg, South Africa or Nairobi, Kenya)",Genesis,Zamfara,,Full-time,PostedPosted 12 days ago,"Proficiency in data analysis and advanced Excel skills.
Data Analysis and Reporting - Collect and analyse compensation data from various sources to support…"
Full-Stack Engineer - Integrations team (.NET/C# + JavaScript/TypeScript + HTML),Deel,Nigeria,,Full-time,PostedPosted 13 days ago,"Unit test applications in accordance with established standards using real sample data sets before checking in the code.
Rest of Nigeria Full Time."
"Lead , Business Intelligence Engineer",NewGlobe,Lagos,,,PostedPosted 30+ days ago,"Contribute to the effective data governance of business data, including data quality, data management, data policies, business process management, and risk…"
Business Head – Industrial Gases Ltd.,ExcelMinds Services,Lagos,,,PostedPosted 30+ days ago,Candidate requirements: Minimum 2-4 years in SFA software data management or equivalent data migration and should have an understanding of the sales force data…
Systems Analyst,Believe Resourcing,Abuja,,Full-time,PostedPosted 15 days ago,"Develop detailed system specifications, including data models, process flows, and system interfaces.
Our client is a leading, global digital transformation…"
HR Operations Analyst,Dangote Group,Lagos,,Full-time,PostedPosted 30+ days ago,"Strong analytical skills and proficiency in HR data analysis.
Analyze HR data to identify trends, patterns, and areas for improvement."
Corporate Finance & Accounting Manager,DRYVA DIGITAL MOBILITY SOLUTIONS LTD.,Lagos,,Full-time,EmployerActive 19 days ago,"Maintain integrity of data/numbers at all times.
Work with the CFO on tax matters, and lead a team of analysts for Finance & Accounting operations."
OFFICE SALES ANALYST/ REPRESENTATIVE- Ilupeju lagos,West Africa Vocational Education (WAVE),Lagos,"₦60,000 - ₦80,000 a month",Full-time,EmployerActive 5 days ago,"3.Study past sales data to determine trends in productivity.
1.Collect data from sales reports for analysis.
We are looking for a Sales Analyst to join our team…"
IT Services Marketing Manager,ITC WORLDWIDE,Abuja,,Full-time,PostedPosted 12 days ago,"Strong analytical skills and data-driven thinking.
ITC WORLDWIDE is seeking a dynamic and experienced IT Services Marketing Manager Abuja, CBD, FCT, NG (onsite)…"
Work Flow Automation Developer,Oscar Temple,Lagos,,Full-time,EmployerActive 5 days ago,"Create attractive, responsive, and data-driven workflow applications.
Work hand in hand with business analysts and solution architects to produce a functional…"
Senior Data Engineer,Reliance Health,Lagos,,Full-time,EmployerActive 5 days ago,Experience in implementing data protection measures to protect consumers' personal data and privacy against data loss or exposure.
Head of Investments,Deloitte Human Capital Consulting West Africa,Lagos,,Full-time,PostedPosted 30+ days ago,"Work closely with investment analysts to assess financial information and investment opportunities.
Use complex financial models to project future earning and…"
Crypto Investment Analyst (Nigeria-Remote),Token Metrics,Lagos,,Full-time,PostedPosted 25 days ago,"Proficiency in using analytics tools and platforms to gather and interpret data.
Analytical: Strong analytical and financial analysis skills; an ability to…"
"Engineering Manager, Telecom Solutions",CrossBoundary,Lagos,,,PostedPosted 30+ days ago,"Experienced power system modeler and analyst, with experience determining size, storage and system configurations for hybrid power systems."
"Finance Business Analyst, DCT",Dangote Group,Ogun,,Full-time,PostedPosted 19 days ago,"As a Financial business analyst, you will play a key role in analyzing financial data, identifying trends, and providing insights to drive informed business…"
"Senior Product Manager - Nerve (Lagos, Nigeria)",Kuda Technologies Ltd,Lagos,,Full-time,EmployerActive 9 days ago,"You will collaborate with engineers, designers, data analysts, and other stakeholders to deliver high-quality solutions to Kuda's customers."
Robotic Process Automation (RPA),Oscar Temple,Lagos,,Full-time,EmployerActive 5 days ago,∙Collaborate with business analysts and stakeholders to understand business processes and identify automation.
Accounting Operations Manager,Deloitte Human Capital Consulting West Africa,Ibadan,,,PostedPosted 30+ days ago,"Manage a team of analysts and officers to achieve the aforementioned functions.
Acts as liaison to external auditors by explaining journal entries and financial…"
SAP Support Officer (Human Resources Management),Dangote Group,Lagos,,Full-time,PostedPosted 30+ days ago,"Detailed knowledge of the SAP HCM master data.
The resource(s) would join our team of professionals to support the daily SAP operations of the business and SAP…"
Full-Stack Engineer - NextGen (.NET/Vue),Deel,Nigeria,,Full-time,PostedPosted 14 days ago,"Unit test applications in accordance with established standards using real sample data sets before checking in the code.
Rest of Nigeria Full Time."
